uniprot,organism,ogt,organism_class,tm,n_datasets
R4YLZ4,Oleispira antarctica,15.0,psychrophile,37.36,1
R4YLZ8,Oleispira antarctica,15.0,psychrophile,40.48,1
R4YLZ9,Oleispira antarctica,15.0,psychrophile,43.13,1
R4YM01,Oleispira antarctica,15.0,psychrophile,44.11,1
R4YM03,Oleispira antarctica,15.0,psychrophile,53.35,1
R4YM06,Oleispira antarctica,15.0,psychrophile,43.69,1
R4YM07,Oleispira antarctica,15.0,psychrophile,34.49,1
R4YM10,Oleispira antarctica,15.0,psychrophile,42.69,1
R4YM12,Oleispira antarctica,15.0,psychrophile,42.56,1
R4YM14,Oleispira antarctica,15.0,psychrophile,47.32,1
R4YM15,Oleispira antarctica,15.0,psychrophile,41.95,1
R4YM16,Oleispira antarctica,15.0,psychrophile,39.04,1
R4YM22,Oleispira antarctica,15.0,psychrophile,41.9,1
R4YM24,Oleispira antarctica,15.0,psychrophile,42.29,1
R4YM27,Oleispira antarctica,15.0,psychrophile,37.81,1
R4YM28,Oleispira antarctica,15.0,psychrophile,39.84,1
R4YM29,Oleispira antarctica,15.0,psychrophile,42.53,1
R4YM32,Oleispira antarctica,15.0,psychrophile,47.12,1
R4YM37,Oleispira antarctica,15.0,psychrophile,39.96,1
R4YM39,Oleispira antarctica,15.0,psychrophile,39.11,1
R4YM41,Oleispira antarctica,15.0,psychrophile,35.8,1
R4YM46,Oleispira antarctica,15.0,psychrophile,39.05,1
R4YM47,Oleispira antarctica,15.0,psychrophile,42.68,1
R4YM51,Oleispira antarctica,15.0,psychrophile,45.04,1
R4YM54,Oleispira antarctica,15.0,psychrophile,37.68,1
R4YM55,Oleispira antarctica,15.0,psychrophile,40.1,1
R4YM57,Oleispira antarctica,15.0,psychrophile,38.89,1
R4YM63,Oleispira antarctica,15.0,psychrophile,52.44,1
R4YM68,Oleispira antarctica,15.0,psychrophile,39.79,1
R4YM74,Oleispira antarctica,15.0,psychrophile,32.27,1
R4YM77,Oleispira antarctica,15.0,psychrophile,42.12,1
R4YM80,Oleispira antarctica,15.0,psychrophile,41.94,1
R4YM82,Oleispira antarctica,15.0,psychrophile,41.32,1
R4YM86,Oleispira antarctica,15.0,psychrophile,37.56,1
R4YM87,Oleispira antarctica,15.0,psychrophile,37.09,1
R4YM88,Oleispira antarctica,15.0,psychrophile,41.86,1
R4YM90,Oleispira antarctica,15.0,psychrophile,42.01,1
R4YM91,Oleispira antarctica,15.0,psychrophile,41.01,1
R4YM97,Oleispira antarctica,15.0,psychrophile,38.91,1
R4YM99,Oleispira antarctica,15.0,psychrophile,50.2,1
R4YMA1,Oleispira antarctica,15.0,psychrophile,46.22,1
R4YMA4,Oleispira antarctica,15.0,psychrophile,39.33,1
R4YMA5,Oleispira antarctica,15.0,psychrophile,51.28,1
R4YMA8,Oleispira antarctica,15.0,psychrophile,44.39,1
R4YMB0,Oleispira antarctica,15.0,psychrophile,36.99,1
R4YMB3,Oleispira antarctica,15.0,psychrophile,43.91,1
R4YMB4,Oleispira antarctica,15.0,psychrophile,41.99,1
R4YMB5,Oleispira antarctica,15.0,psychrophile,39.07,1
R4YMB7,Oleispira antarctica,15.0,psychrophile,44.88,1
R4YMB9,Oleispira antarctica,15.0,psychrophile,49.37,1
R4YMC0,Oleispira antarctica,15.0,psychrophile,46.06,1
R4YMC1,Oleispira antarctica,15.0,psychrophile,42.58,1
R4YMC2,Oleispira antarctica,15.0,psychrophile,52.99,1
R4YMC3,Oleispira antarctica,15.0,psychrophile,39.72,1
R4YMC5,Oleispira antarctica,15.0,psychrophile,39.92,1
R4YMC7,Oleispira antarctica,15.0,psychrophile,43.86,1
R4YMD2,Oleispira antarctica,15.0,psychrophile,44.35,1
R4YMD6,Oleispira antarctica,15.0,psychrophile,37.45,1
R4YMD8,Oleispira antarctica,15.0,psychrophile,40.98,1
R4YMD9,Oleispira antarctica,15.0,psychrophile,39.8,1
R4YME1,Oleispira antarctica,15.0,psychrophile,40.8,1
R4YME2,Oleispira antarctica,15.0,psychrophile,40.88,1
R4YME4,Oleispira antarctica,15.0,psychrophile,38.58,1
R4YME6,Oleispira antarctica,15.0,psychrophile,43.47,1
R4YME7,Oleispira antarctica,15.0,psychrophile,42.73,1
R4YME8,Oleispira antarctica,15.0,psychrophile,45.28,1
R4YMF0,Oleispira antarctica,15.0,psychrophile,40.3,1
R4YMF5,Oleispira antarctica,15.0,psychrophile,46.26,1
R4YMF8,Oleispira antarctica,15.0,psychrophile,47.67,1
R4YMF9,Oleispira antarctica,15.0,psychrophile,33.82,1
R4YMG1,Oleispira antarctica,15.0,psychrophile,37.45,1
R4YMG5,Oleispira antarctica,15.0,psychrophile,40.82,1
R4YMG8,Oleispira antarctica,15.0,psychrophile,44.66,1
R4YMG9,Oleispira antarctica,15.0,psychrophile,38.47,1
R4YMH2,Oleispira antarctica,15.0,psychrophile,46.84,1
R4YMH3,Oleispira antarctica,15.0,psychrophile,42.55,1
R4YMH4,Oleispira antarctica,15.0,psychrophile,42.69,1
R4YMH5,Oleispira antarctica,15.0,psychrophile,39.51,1
R4YMH6,Oleispira antarctica,15.0,psychrophile,38.73,1
R4YMH7,Oleispira antarctica,15.0,psychrophile,42.6,1
R4YMI2,Oleispira antarctica,15.0,psychrophile,40.74,1
R4YMI4,Oleispira antarctica,15.0,psychrophile,41.57,1
R4YMI5,Oleispira antarctica,15.0,psychrophile,38.44,1
R4YMI6,Oleispira antarctica,15.0,psychrophile,41.28,1
R4YMJ1,Oleispira antarctica,15.0,psychrophile,38.78,1
R4YMJ3,Oleispira antarctica,15.0,psychrophile,45.27,1
R4YMJ5,Oleispira antarctica,15.0,psychrophile,40.22,1
